Jiawei Han
Frank Maurer
Shinji Kusumoto
Mohsen Vakilian
Claudia Szabo
Iman Keivanloo
Corrado Aaron Visaggio
Stuart R. Faulk
Foyzur Rahman
James H. Andrews
Anita Sarma
Kumiyo Nakakoji
Daniel M&#233;ndez Fern&#225;ndez
Chris Parnin
Karim Lakhani
Nicolas Mangano
J. Barrie Thompson
Coen De Roover
Dalal Alrajeh
Jacques Klein
Chao Wang
Daniel Sykes
Nazim H. Madhavji
Yuanyuan Zhou
Yu Sun
Vladimir Filkov
William N. Sumner
Antonio Vetro
Allen P. Nikora
Yvonne Dittrich
Laurie A. Williams
Peter C. Rigby
Yun Young Lee
Andy Zaidman
Jaelson Castro
Norbert Seyff
Martin C. Rinard
Ruzanna Chitchyan
Lu Xiao
David Leon
Yingfei Xiong
Jorge Mendes
Juergen Rilling
Bogdan Dit
Warren Harrison
Yue Jia
June Andronick
Jacek Czerwonka
Matthias Tichy
Kathryn S. McKinley
Robert Dyer
Stephanie Forrest
Adrian Nistor
Giuliano Antoniol
Nazareno Aguirre
Harald C. Gall
Donald J. Bagert
Forrest Shull
He Zhang
E. James Whitehead Jr.
Mike Papadakis
Alexander Ran
Moonzoo Kim
Pamela Bhattacharya
Chen Fu
Dan Hao
Stoney Jackson
Heiko Koziolek
Zhenbang Chen
Ahmed Tamrawi
Yongjie Zheng
Neha Rungta
Ivan Beschastnikh
Michalis Famelis
Iulian Neamtiu
Xi Ge
Rick Salay
Eli Tilevich
Siobh&#225;n Clarke
Yasutaka Kamei
Jafar M. Al-Kofahi
Lars Heinemann
Goetz Botterweck
Tobias Roehm
Yunwen Ye
Abram Hindle
Margaret M. Burnett
Gregory Gay
Andreas Pleuss
Natalia Juristo Juzgado
Wouter Joosen
Casper Lassenius
Aleksandar Milicevic
Joost Visser
Eric Bouwers
Orna Raz
Marvin V. Zelkowitz
Georgios Gousios
David H. Lorenz
Weiyi Shang
Gian Pietro Picco
Stefania Gnesi
Thomas Fritz
Pearl Brereton
Mark Klein
Matthias Galster
Qing Xie
Michaela Greiler
Gordon Fraser
Christof Ebert
Reidar Conradi
Gregor Kiczales
J&#246;rg Niere
John Grundy
Yinxing Xue
Oscar Nierstrasz
Wilhelm Sch&#228;fer
Jan J&#252;rjens
Arosha K. Bandara
Luciano Baresi
Guowei Yang
Steven Arzt
Jim Whitehead
Karthik Pattabiraman
Shing-Chi Cheung
Martin Monperrus
Manfred Broy
Kurt Geihs
Thorsten Berger
Matthew B. Dwyer
Santosh Pande
Robert J. Walker
Ivar Jacobson
David Clark
Cleidson R. B. de Souza
Peter Knauber
Lucia Rapanotti
Maxime Cordy
Brittany Johnson
Victor R. Basili
Alexander Chatzigeorgiou
Burak Turhan
Mark Staples
Yonghee Shin
Ping Zhang
Yvan Labiche
Myoungkyu Song
Thomas Stauner
Holger Giese
John T. Stasko
Jyrki Kontio
Alessandra Russo
Jean-Marc J&#233;z&#233;quel
Suresh Thummalapenta
Mary Lou Soffa
Liming Zhu
Walt Scacchi
Helen Sharp
Mehdi Jazayeri
Gerwin Klein
Cristian Cadar
Clemens A. Szyperski
Ji Wang
Zhen Ming Jiang
Kostas Kontogiannis
Christine Julien
Mira Mezini
Muhammad Ali Babar
Roel Wieringa
David Binkley
Norbert Siegmund
Mira Kajko-Mattsson
Alessandro Garcia
Fabrizio Pastore
Henry Muccini
Janet E. Burge
Cristina Gacek
William G. J. Halfond
Domenico Cotroneo
Paul Luo Li
Laura Inozemtseva
Shihong Huang
Janet Siegmund
Brad A. Myers
Joanne M. Atlee
Martin Fowler
Naoyasu Ubayashi
Jon G. Hall
Wolfgang De Meuter
Antonia Bertolino
Itai Segall
Nicol&#242; Perino
Robert B. France
Domenico Bianculli
Ioana Rus
Paul Gr&#252;nbacher
Shahar Maoz
